FID,the_geom,X_MIN,X_MAX,Y_MIN,Y_MAX,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
meses.1,"MULTIPOLYGON (((-65.72605020439964 -26.35627254049987, -65.68412094269964 -26.35627254049987, -65.68412094269964 -26.39826999499987, -65.72605020439964 -26.39826999499987, -65.72605020439964 -26.35627254049987)))",-65.7260502,-65.68412094,-26.39826999,-26.35627254,97.07989,160.02272,154.88952,185.11792,172.86467,150.23347,16418,167.54756,135.39081,109.00754,118.41536,144.90579
meses.2,"MULTIPOLYGON (((-63.965021212999424 -21.988537272499993, -63.923091951299426 -21.988537272499993, -63.923091951299426 -22.03053472699999, -63.965021212999424 -22.03053472699999, -63.965021212999424 -21.988537272499993)))",-63.96502121,-63.92309195,-22.03053473,-21.98853727,80.47709,153.49167,148.82544,171.3577,160.12733,165.39759,860,182.54199,130.76176,105.40484,114.93919,150.00237
meses.3,"MULTIPOLYGON (((-63.923091951299426 -21.988537272499993, -63.88116268959943 -21.988537272499993, -63.88116268959943 -22.03053472699999, -63.923091951299426 -22.03053472699999, -63.923091951299426 -21.988537272499993)))",-63.92309195,-63.88116269,-22.03053473,-21.98853727,80.51651,153.81581,148.85831,172.04871,160.48572,165.87464,861,183.41782,130.88019,105.48501,115.26332,150.68933
meses.4,"MULTIPOLYGON (((-63.88116268959943 -21.988537272499993, -63.83923342789943 -21.988537272499993, -63.83923342789943 -22.03053472699999, -63.88116268959943 -22.03053472699999, -63.88116268959943 -21.988537272499993)))",-63.88116269,-63.83923343,-22.03053473,-21.98853727,80.44909,155.3168,149.51034,173.07037,161.37038,166.20871,862,184.85936,131.34883,105.46871,115.91855,151.84019
meses.5,"MULTIPOLYGON (((-63.83923342789943 -21.988537272499993, -63.79730416619943 -21.988537272499993, -63.79730416619943 -22.03053472699999, -63.83923342789943 -22.03053472699999, -63.83923342789943 -21.988537272499993)))",-63.83923343,-63.79730417,-22.03053473,-21.98853727,80.39174,155.94833,149.93565,173.65154,161.698,166.28329,863,185.65002,131.52886,105.47249,116.29849,152.22907
meses.6,"MULTIPOLYGON (((-63.79730416619943 -21.988537272499993, -63.75537490449943 -21.988537272499993, -63.75537490449943 -22.03053472699999, -63.79730416619943 -22.03053472699999, -63.79730416619943 -21.988537272499993)))",-63.79730417,-63.7553749,-22.03053473,-21.98853727,80.44011,157.38322,150.79944,174.5327,162.60915,166.57111,864,186.07703,132.19691,106.00141,118.20691,153.44285
meses.7,"MULTIPOLYGON (((-63.75537490449943 -21.988537272499993, -63.713445642799435 -21.988537272499993, -63.713445642799435 -22.03053472699999, -63.75537490449943 -22.03053472699999, -63.75537490449943 -21.988537272499993)))",-63.7553749,-63.71344564,-22.03053473,-21.98853727,80.64891,158.03212,151.36917,175.53503,163.40286,166.46861,865,186.17416,132.39603,106.1584,119.04107,154.02571
meses.8,"MULTIPOLYGON (((-63.713445642799435 -21.988537272499993, -63.67151638109944 -21.988537272499993, -63.67151638109944 -22.03053472699999, -63.713445642799435 -22.03053472699999, -63.713445642799435 -21.988537272499993)))",-63.71344564,-63.67151638,-22.03053473,-21.98853727,81.3959,159.4133,152.04346,176.43712,164.13918,167.35089,866,186.8972,132.72618,106.29255,120.44476,155.25266
meses.9,"MULTIPOLYGON (((-63.67151638109944 -21.988537272499993, -63.62958711939944 -21.988537272499993, -63.62958711939944 -22.03053472699999, -63.67151638109944 -22.03053472699999, -63.67151638109944 -21.988537272499993)))",-63.67151638,-63.62958712,-22.03053473,-21.98853727,81.4872,159.67976,152.10455,176.97394,164.36104,167.69594,867,186.87578,132.86263,106.34194,120.70386,155.72374
meses.10,"MULTIPOLYGON (((-63.62958711939944 -21.988537272499993, -63.58765785769944 -21.988537272499993, -63.58765785769944 -22.03053472699999, -63.62958711939944 -22.03053472699999, -63.62958711939944 -21.988537272499993)))",-63.62958712,-63.58765786,-22.03053473,-21.98853727,81.59742,160.02882,152.29644,177.30162,164.42348,168.21688,868,187.16072,132.88281,106.32043,121.07546,156.08211
